bnb1rv89nkw2x5ksvhf6jtqwqpke4qhh7jmudpvqmj	22419804.664057214	13915
bnb146ffk2lc7lepfelca5x9an9n2ek4hjw838rl5e	2879189.56916629	1428
bnb1r6xls8kq0hr2ngjf7pu8d42f7jh35kqelzeywc	1165280.58641217	382
bnb1j45kfzfywkqg95zqh0z8pddlqs2vze5jvhrjtc	1038242.78111403	75
bnb1k5ypfc7azkkt8v792ucgldlfrlh0att5733lxc	690114.2523916799	189
bnb13m6t2ymp365jffgmpxemqvcxt9zhjq3r2mtyhn	682444.3726809071	1054
bnb1yxx3grdj8jnxfy9yg98v56grumhmpvw0pml8ly	402424.66008274996	348
bnb1l3qz4kwumtthq8s7ze87rmvrn0cc42309wnyj5	393866.93676135	71
bnb1ajrn6uqwp90jtq0eepm3gdjastspt8na8c6agu	281093.3685549178	33
bnb1ju6eehwue87tayz5u7pvuh33eke8l84dumf0mp	262840.1818964	3
bnb1m4mykwuvgjv8fea4vregpwwj6t8eyc7ldw0wud	229492.07870836373	625
bnb19ylh0zh8lwj7ga3cznxzy7tw8p04s47568v0l5	217978.32216384393	898
bnb1dyltg4dr4t35ptsdh70jeqee8842upkz4hrc20	212106.81257395	15
bnb109465jrt9t75hf5x0nzwh0mxcxszxqn80qjxw4	211535.46817819998	44
bnb1nqckk6repqcx32a9suu3dgy2hcml0ws4j4tpan	207593.12877861233	275
bnb1patrmmvazgp5m09s4j7d3u9syzn6nelf4jc0k3	203929.35090913	10
bnb1a08dxdmqz4v65u6ezcyssz4syyue5g0q95tm8m	177509.05359489	7
bnb13jpfyewrrfwncl0zmr3cv3vfralp6la4wwksyw	162434.6236707	28
bnb1fshn793p347m8nratycr37ht3f0ndr5m8k6adc	154840.51	2
bnb1j987tqf9e5mxelnpav3srv4d7cv4vf2azv7z0k	149636.37052786	8
bnb1azxegayhzpemvwh23wfl2vczt37vp2r9qltw44	147983.22928124	15
bnb1j4h7pcmns3uav6ye64u3c5dgfnclhuat5pz642	130336.88298284877	202
bnb1r22z3r30899juyz682d6q5qjcdg49nzywrs60e	129698.64826814001	13
bnb1d6l9t2fuv5fz0rxa6n9rcwt7kg5afwj358skj6	121340.99916787	12
bnb1vpeju6yh8lmewu06yezk5u8ha2usdhty6lzmkd	116132.14130986152	36
bnb1xqzhn6vpgk90qvd8g8z9ul6aufe2ryvgt7pnk9	102284.77846785335	9
bnb1dkpkyc9t0kuh2n5cmnalae3v63evyu9dmx4gkl	100056.06182834996	15
bnb1qmqj5yxz2y45fhmltk2ykrquzgjyy89xtduens	99341.677217615	923
bnb19nc5gaaxfyxt7c798gzsa8pns5vgfz3fx2c6kx	86899.503069	193
bnb1n569app6rzgdlqwmu7vd2fvklzlndwu6mpe359	85000	2
bnb1ppulh3ucal4ers4stg9gfhmjtffltha9rzmmnh	84026.21041455	6
bnb1ejkpz2k3wdxkmdvkc4aqn4f8qc8rh6cu4zc7zz	78752.8323712437	66
bnb1nf75ufznxcpu0wt5ll99fa9urxfa8rfyujxrdq	78061.49663539	6
bnb1tjwspk64aj838ks2zx7njw7mvcu9ll5zafc65z	73679.2	1
bnb13epa408c40l05sprwauza9sxxd5yykszmznn22	72099.17668554	3
bnb1upuy4dfemc2gechyaplaqsa2qa7gp0g4wa0ae0	71504.07043131813	68
bnb1pjexmh4fx5xdymlpfjtzvl23xnz00e6l2f79aa	69567.55304097	58
bnb1vegxjgw0fp2hewzpsqnwarj94vxg8633davgpl	66815.2972555442	11
bnb1g6440r5l2w9uv7675jd7xx4pxe0pu9umkvgkhs	66103.11774351	3
bnb1d23lp8dzyznwvfx0ks0tjh7v74zrt32a8ax5j3	64045.63543901	12
bnb104ufq70za3s8p5apzt34f8rtd6ege2j76q0cgu	59186.0662461	3
bnb1dpc2uta2j4wysdh64e00qlxnltnnny424x2dvz	58369.97961594	14
bnb1ht30k7gc259mvlydysl7x0sjt44x7xpl6sqpk5	58104.864025	1
bnb1hj0jrleesueq0xg2tv3fjm6lvt08v8c04k77rm	57718.68264438999	24
bnb1zzpfhlu2z3y0ne00wjtnzf0p7zll9xz3fnm9wd	57381.45332630199	7
bnb13wxfh9p0yyzz3k9r2vdr9pvhsx9yap3cz7t8hu	57166.823102359995	13
bnb1rugk96uaj3h5t6t7nc7xtqzx8qg8v9he90vqls	56997.6416291	15
bnb1shk2qste8y4p0hdczqwh5ptxy3ugywvatf8s6j	56365.57746615001	4
bnb1859r478lkzxl3y33uht7dw75r5xmr53gh543vh	52051.14960673	7
bnb13vedtsftqjywaj074dneknyr6adpxttrand20e	51901.65990999	6
bnb1vhxgdg8k650awk8v9d3fayvuratx55fjra8hj9	50164.52	1
bnb1euqh7ruz26sa3hpj80kfqwla56drp3ln8sc0mv	48952.5609628	3
bnb139cr9zurcygf9u39rvx7a2a4gc2mv4ux64sgg6	45484.45825841	70
bnb1pfx8p02res67nn4gjwyjjpakpnt8l7j6kr333k	44624.29062893756	288
bnb180hp2ms3a862j4u0wm5l5gl4z9t33fddhfwea6	43840.53148834	5
bnb1zmerr9c6j6lxw7rdplguwdnakstvgdvph6dgjr	43662.527154769996	5
bnb172ke82gk956su6dmkwzwtuw2xfv2j6ct0qpqe7	42209.3326306	3
bnb1ys435y83gm2pu3hlj08w8mp8up44zj4y29uy8j	41554.63305202	9
bnb1kjhqxrsy0kpvwnzprrsxjhr3dl69v657z6xlsz	40775.23097318	8
bnb14kqxfewy6wec9h4xst7hz0fdazl6u90vnn3ct3	40696.287448740004	20
bnb1kq3x7h4tl6qrtgyvngzyynfl2825c5ejcjkzhg	36761.34	1
bnb15a7a0h3fj2x6ful4gh02ywj3w5t3uspzy628gr	36688.18559051	14
bnb1x22qwpk4k0pr6sw79t6dn7mdxguc6dn8qj4e8c	34835.32735406753	90
